n12g0m0.txt
win,744,957,361,908,969,981,1347,1339
n6g4m0.txt
25%,0.0,0.776,0.683,0.0,0.635,0.0,0.0,0.0
75%,1.0,1.353,1.0,1.0,1.0,1.0,0.375,0.56
median,0.7,1.0,1.0,0.5,1.0,0.143,0.0,0.019
std,0.829,3.091,0.962,1.072,0.9,1.232,0.465,0.57
iqr,1.0,0.577,0.317,1.0,0.365,1.0,0.375,0.56
win,881,427,462,985,491,1058,1494,1406
n6g4m1.txt
25%,-2.5,-0.488,-4.414,-1.0,-0.816,-0.458,0.198,0.149
75%,1.0,0.654,0.172,1.0,0.946,1.0,1.0,1.0
median,0.0,0.162,-0.811,0.191,0.311,0.602,0.885,0.943
std,22.325,9.869,45.359,58.263,49.655,9.373,4.022,4.128
iqr,3.5,1.142,4.586,2.0,1.763,1.458,0.802,0.851
win,510,283,89,621,135,846,979,1018
n6g5m0.txt
25%,0.589,0.508,0.724,0.513,0.577,0.5,0.158,0.2
75%,0.967,1.0,0.978,0.977,0.989,1.0,0.85,0.884
median,0.833,0.81,0.893,0.821,0.839,0.847,0.611,0.667
std,0.487,2.985,0.375,0.518,0.572,0.721,0.406,0.421
iqr,0.378,0.492,0.254,0.465,0.412,0.5,0.692,0.684
win,1441,1333,1352,1458,1386,1440,1583,1573
n6g5m1.txt
25%,-24.463,-9.747,-41.314,-15.7,-15.6,-12.065,-5.553,-5.742
75%,-1.0,0.0,-2.468,-0.264,-0.198,0.0,0.424,0.464
median,-5.828,-2.269,-11.938,-3.925,-3.515,-2.719,-1.312,-1.218
std,106.26,158.419,1705.174,63.51,99.178,80.614,21.022,32.965
iqr,23.463,9.747,38.847,15.436,15.402,12.065,5.977,6.206
win,839,1167,595,1000,1022,1096,1382,1342
n6g6m0.txt
25%,0.2,0.175,0.273,0.167,0.145,0.125,0.017,0.031
75%,0.8,1.0,1.0,0.667,0.702,0.712,0.227,0.327
median,0.435,0.452,0.592,0.374,0.341,0.375,0.067,0.103
std,1.402,5.412,2.42,1.721,1.175,1.899,0.571,0.595
iqr,0.6,0.825,0.727,0.5,0.557,0.588,0.21,0.297
win,642,665,456,725,796,772,1436,1311
n6g6m1.txt
25%,-1.418,-0.094,-6.976,-0.5,-0.233,-0.414,0.443,0.44
75%,0.703,0.82,0.132,0.836,0.862,0.871,0.96,0.963
median,0.136,0.513,-1.534,0.426,0.524,0.488,0.844,0.858
std,42.752,25.462,157.524,24.971,11.538,18.748,1.715,1.789
iqr,2.121,0.915,7.108,1.336,1.095,1.285,0.517,0.523
win,520,782,253,720,790,775,1250,1271
